0681810Y;Lycée des Métiers Gustave Eiffel
0772332S;Lycée Sonia Delaunay
0010878Z;Lycée Jeanne D'Arc
0511951U;Lycée Jean TALON
0711422K;Lycée Hilaire De Chardonnet
0391092A;Lycée Paul Emile Victor
0940112L;Lycée Louise Michel
0850135K;Lycée Sainte Marie
0941974K;Lycée Robert Schuman
0080008R;Lycée François Bazin
0890008A;Lycée du Parc des Chaumes
0932282A;Lycée Leo Lagrange
0772339Z;Lycée Georges Clémenceau
0580008U;Lycée Romain Rolland
0290034E;Lycée Jean-Marie Le Bris
0951974E;Lycée Louis Armand
0762911B;Lycée Galilée
0830101J;Lycée Maintenon
0932222K;Lycée Rene Cassin
0770934X;Lycée Leonard De Vinci
0390027T;Lycée Victor Bérard
0940118T;Lycée Louis Armand
0660552S;Lycée NEOSUP Ecole Maso
0932046U;Lycée Leonard De Vinci
0331579M;Ecole Tech Jamet Buffereau
0070099V;Saint Andre
0754101A;Ecole Dessin Techn Artist Sornas
9830002K;Lycée La Perouse
9830507J;Lycée Antoine Kela
0690557F;Cours Pascal
0211090W;Lycée saint bénigne
0211033J;Lycée Gustave Eiffel
0360002G;Lycée Rollinat
0622106C;Lycée Saint Vaast-Saint Dominique
0290009C;Lycée DE L'IROISE
0500116E;Lycée Jean Paul II
0391047B;Lycée Notre-Dame de L'Annonciation
0260006R;Lycée F.J. Armorin
0941943B;Lycée Ozar Hatorah Garcons
0140043W;Lycée André Maurois
0211928G;Lycée Européen Charles De Gaulle
0352471W;Lycée St Magloire
0390012B;Lycée Charles Nodier
0290194D;Lycée Ste Elisabeth-St Blaise
0141165R;Lycée Cours Notre-Dame
0831326R;Institution St Joseph
0593102B;Lycée Notre-Dame Des Dunes
0510015P;Lycée Leon Bourgeois
0511135G;Lycée NOTRE DAME SAINT VICTOR
0120052S;Lycée Immaculee Conception
0240013J;Lycée Giraut De Borneil
0110840D;Lycée La Clarte-Dieu
0771232W;Lycée Jeanne d'Arc-Saint Aspais
0810075S;Lycée Saint-Joseph De L'Apparition
0880030E;Lycée La Haie Griselle
0442273G;Lycée Charles Peguy EN
0560096A;Lycée Ste Jeanne D'Arc
0500119H;Lycée Sevigne
0442112G;Lycée GALILEE
0771228S;Lycée de JUILLY
0320036R;Lycée Joseph Saverne
0331504F;Lycée La Sauque
0830102K;Cours Saint Dominique
0381660Y;Lycée Sainte Cecile
0721549T;Lycée Saint-Paul - Notre Dame
0720833P;Lycée Notre Dame
0490835S;Lycée Saint Joseph
0740093Z;Sainte Marie
0830095C;Lycée Sainte Marie
0593106F;Lycée Sainte Odile
0290198H;Lycée St Esprit
0631033F;Lycée Sévigné Saint-Louis
0132495S;Lycée Arthur Rimbaud
0540076P;Lycée Jean Zay
0861223M;Lycée Pilote Innovant International
0380014J;Lycée Hector Berlioz
0720017C;Lycée Robert GARNIER
0720021G;Lycée D'Estournelles De Constant
0831407D;Lycée du Coudon
0740092Y;Lycée Sainte Famille
0851401L;Lycée Jean De Lattre de Tassigny
0830050D;Lycée Beaussier
0771237B;Lycée St Laurent La Paix Notre Dame
0220099N;Lycée St Joseph
0590110Z;Lycée Jean Perrin
0292047T;Lycée du Leon
0590112B;Lycée Dupleix
0021872Z;Lycée La Providence
0020032Z;Lycée Paul Claudel
0530936E;Lycée Moliere
0530012A;Lycée Reaumur
0932034F;Lycée MOZART
0490952U;Lycée Champ Blanc
0420008F;Lycée Jérémie DE LA RUE
0280044W;Lycée Jehan De Beauce
0210013A;Lycée Desire Nisard
0212023K;Lycée Saint Vincent De Paul
0022008X;Lycée professionnel Jean Mace
0370009J;Lycée Francois Rabelais
0490018D;Lycée Europe Robert Schuman
0922149L;Lycée Auffray
0932026X;Lycée Alfred Nobel
0160020K;Lycée Jean Monnet
0490832N;Lycée polyvalent privé de Combree
0550008K;Lycée Henri Vogt
0142120D;Lycée Charles Tellier
0160022M;Lycée Emile Roux
0912161E;Lycée Saint Leon
0911828T;Lycée Georges Brassens
0031082K;Lycée Valery Larbaud
0763002A;Lycée du Golf
0570021N;Lycée Charles Hermite
0210018F;Lycée Hippolyte Fontaine
0211091X;Lycée Les Arcades
0391146J;Lycée Pasteur Mont Roland
0610014J;Lycée Auguste Chevalier
0500126R;Lycée Saint-Joseph
0690553B;Centre Scolaire Notre Dame
0382943T;Lycée LES PORTES DE CHARTREUSE
9840001D;Lycée des Iles Sous Le Vent
9760127J;Lycée Younoussa Bamana
9830261S;Lycée Blaise Pascal (Dec)
9830328P;Ecole Moderne
9830504F;Lycée Apollinaire Anova (Dec)
9760229V;Lycée de Petite Terre
9750001C;Lycée Emile Letournel
9830483H;Lycée Williama Haudra
9830377T;Lycée Do Kamo (Asee)
0750655E;Lycée Louis Le Grand
0290069T;Lycée Auguste Brizeux
0631068U;Lycée Godefroy De Bouillon
0570054Z;Lycée Fabert
0331636Z;Lycée Jean Moulin
0650012K;Lycée Michelet
0220103T;Lycée St Jean Bosco
0810030T;Lycée Las Cases
0720030S;Lycée Bellevue
0941855F;Cours Augustin Fresnel
0932303Y;Lycée Merkaz Hatorah Filles
0931812P;Lycée St Louis Ste Clotilde
0332831Y;Lycée Sud Medoc La Boétie
0931813R;Lycée Alliance
0290161T;Notre Dame De Lourdes
0572029W;Lycée Pilatre De Rozier
0592922F;Lycée européen Therese D'Avila
0590116F;Lycée FENELON
0593113N;Lycée Sainte Claire
0870016V;Lycée Leonard Limosin
0870864S;Lycée Saint-Jean
0141169V;Lycée Institution Fremont
0911919S;C.F.S.P.
0622116N;Lycée La Malassise Pens Saint Joseph
0650058K;Lycée Peyramale Saint-Joseph
0541312H;Lycée Saint Pierre Fourier
0690574Z;Lycée Chevreul
0693366J;Cours Montesquieu
0690515K;Saint Charles De Serin
0690030H;Lycée Jean Moulin
0690529A;Lycée Deborde
0690533E;Externat De La Trinite
0693587Z;Lycée La Xavière
0690538K;Lycée Pierre Termier
0720840X;St Paul
0593225K;Lycée Prive De Marcq
0590143K;Lycée Yves Kernanec
0781901T;Lycée Dali
0131335F;Lycée Chevreul Blancarde
0130045D;Lycée Michelet
0131345S;Lycée l'Olivier - Robert Coffy
0133555U;Lycée Ami
0131938L;Institut Leschi
0131333D;Lycée Notre Dame De France
0131343P;Lycée St Thomas D Aquin
0132965C;Lycée Beth-Myriam
0133446A;Lycée Hamaskaïne
0131324U;Lycée Lacordaire
0720837U;Lycée Notre-Dame
0771663P;Lycée George Sand
0761713Z;Lycée La Providence
0430059F;Lycée Notre Dame De France
0782568T;Lycée Alain
0850032Y;Lycée Savary De Mauleon
0330088S;Lycée Max Linder
0760072R;Lycée Guillaume Le Conquérant
0870081R;Lycée Beaupeyrat
0870118F;Lycée Raoul Dautry
0911983L;Lycée Jules Verne
0141275K;Lycée Paul Cornu
0370016S;Lycée Alfred De Vigny
0540030P;Lycée Alfred Mezieres
0390019J;Lycée Jean Michel
0332744D;Lycée Elie Faure
0220027K;Lycée Fulgence Bienvenue
0540034U;Lycée Ernest Bichat
0950647M;Lycée Gerard De Nerval
0951788C;Lycée George Sand
0910621F;Lycée Francisque Sarcey
0932229T;Lycée Paul Le Rolland
0280021W;Lycée Edouard BRANLY
0672677W;Lycée Marguerite Yourcenar
0910622G;Lycée Geoffroy-St-Hilaire
0740051D;Lycée Anna de Noailles
0271070S;Lycée Notre-Dame
0912117G;Lycée Notre Dame de Sion
0941301D;Lycée Frederic Mistral
0573491K;Lycée Ernest Cuvelette
0951787B;Lycée Arthur Rimbaud
